id,type,nodeID0,nodeID1
0,0,0,1
1,0,1,2
2,0,2,3
3,0,3,4
4,0,4,5
5,0,5,6
6,0,6,7
7,0,7,8
8,0,8,9
9,0,9,10
10,0,10,11
11,0,11,12
12,0,12,13
13,0,13,14
14,0,14,15
15,0,15,0
16,0,16,17
17,0,17,18
18,0,18,19
19,0,19,20
20,0,20,21
21,0,21,22
22,0,22,23
23,0,23,24
24,0,24,25
25,0,25,26
26,0,26,27
27,0,27,28
28,0,28,29
29,0,29,30
30,0,30,31
31,0,31,32
32,0,32,33
33,0,33,34
34,0,34,35
35,0,35,36
36,0,36,37
37,0,37,38
38,0,38,39
39,0,39,40
40,0,40,41
41,0,41,42
42,0,42,43
43,0,43,44
44,0,44,45
45,0,45,46
46,0,46,47
47,0,47,48
48,0,48,49
49,0,49,50
50,0,50,51
51,0,51,52
52,0,52,53
53,0,53,54
54,0,54,55
55,0,55,16
56,0,56,57
57,0,57,58
58,0,58,59
59,0,56,60
60,0,60,61
61,0,61,62
62,0,62,63
63,0,63,64
64,0,64,65
65,0,65,66
66,0,66,67
67,0,67,68
68,0,68,69
69,0,69,70
70,0,70,71
71,0,71,72
72,0,72,73
73,0,73,74
74,0,59,75
75,0,75,76
76,0,76,77
77,0,77,78
78,0,78,79
79,0,79,80
80,0,80,81
81,0,81,82
82,0,82,83
83,0,83,84
84,0,84,85
85,0,85,86
86,0,86,87
87,0,87,88
88,0,88,74
90,0,90,91
91,0,91,92
94,0,94,95
95,0,95,96
96,0,96,97
98,0,98,99
99,0,99,89
100,0,100,101
101,0,101,102
102,0,102,103
103,0,103,100
104,0,104,105
105,0,105,106
106,0,106,107
107,0,107,108
108,0,108,109
109,0,109,110
110,0,110,111
111,0,111,112
112,0,112,113
113,0,113,114
114,0,114,115
115,0,115,116
116,0,116,117
117,0,117,104
118,0,118,119
119,0,119,120
120,0,120,121
121,0,121,122
122,0,122,123
123,0,123,124
124,0,124,125
125,0,125,126
126,0,126,127
127,0,127,128
128,0,128,129
129,0,129,118
130,0,130,131
131,0,131,132
132,0,132,133
133,0,133,134
134,0,134,135
135,0,135,136
136,0,136,137
137,0,137,138
138,0,138,139
139,0,139,140
140,0,140,130
141,0,8,141
142,0,141,142
143,0,142,143
144,0,143,144
145,0,144,145
146,0,145,141
147,0,147,146
148,0,146,148
149,0,147,149
150,0,149,150
151,0,150,151
152,0,151,152
153,0,152,153
154,0,153,154
155,0,154,155
156,0,155,156
157,0,156,157
158,0,157,158
159,0,158,159
160,0,159,160
161,0,160,83
162,0,148,161
163,0,161,162
164,0,162,163
165,0,163,164
166,0,164,74
167,0,165,166
168,0,166,167
169,0,167,168
170,0,168,169
171,0,169,170
172,0,170,171
173,0,171,172
174,0,172,165
175,0,173,174
176,0,173,175
177,0,175,176
178,0,176,177
179,0,177,178
180,0,178,179
181,0,179,180
182,0,180,174
183,0,181,182
184,0,182,183
185,0,183,184
186,0,184,181
188,0,186,187
189,0,187,188
190,0,188,189
191,0,189,190
192,0,190,191
193,0,191,192
194,0,192,193
195,0,193,194
196,0,194,195
197,0,195,196
201,0,199,200
202,0,200,201
203,0,201,202
204,0,202,203
205,0,203,197
206,0,200,204
207,0,204,205
208,0,205,206
209,0,206,207
210,0,207,208
211,0,208,209
212,0,209,210
213,0,210,211
214,0,211,212
215,0,212,208
216,0,197,213
217,0,213,214
218,0,214,215
219,0,215,216
220,0,216,217
221,0,217,213
222,0,218,219
223,0,219,220
224,0,220,221
225,0,221,222
226,0,222,223
227,0,223,224
228,0,224,225
229,0,225,226
230,0,226,227
231,0,227,228
232,0,228,229
233,0,229,230
234,0,230,218
235,0,231,232
236,0,232,233
237,0,233,234
238,0,234,235
239,0,235,236
240,0,236,237
241,0,237,238
242,0,238,239
243,0,239,240
244,0,240,241
245,0,241,242
246,0,242,243
247,0,243,244
248,0,244,245
249,0,245,246
